key,English,French,Spanish
JewelDesc,Tell a good anger story. Tell about a good way of dealing with anger; good consequences of anger or good reasons for getting angry. Roll again. Treat the square you land on as a safe square. You are protected by the Dragon's treasure. ,Dites une bonne histoire de colère. Parlez d'un bon moyen de gérer la colère; bonnes conséquences de la colère ou bonnes raisons de se mettre en colère. Roulez à nouveau. Traitez le carré sur lequel vous atterrissez comme un carré sûr. Vous êtes protégé par le trésor du Dragon.,Cuéntale una buena historia de ira. Cuéntenos sobre una buena forma de lidiar con la ira; buenas consecuencias de la ira o buenas razones para enojarse. Lanza otra vez. Trata la casilla en la que aterrizas como un cuadrado seguro. Estás protegido por el tesoro del Dragón.
CE_Feeling,Creative Expresion,Expression créative,Expresion Creativa
CE_FeelingDesc,How does Feeling and Creative Expression help to deal with Anger?,Comment le sentiment et l'expression créative aident-ils à gérer la colère?,¿Cómo ayuda Feeling and Creative Expression a lidiar con la ira?
C_Talking,Communication,la communication,Comunicación
C_TalkingDesc,How does Talking and Communicating help to deal with Anger?,Comment parler et communiquer aide-t-il à gérer la colère?,¿De qué manera hablar y comunicarse ayuda a lidiar con la ira?
PA_Doing,Physical Activity,Activité physique,Actividad física
PA_DoingDesc,How dies Doing and Physical Activity help to deal with Anger?,Comment les meurtres et l'activité physique aident-ils à gérer la colère?,¿Cómo muere y la actividad física ayuda a lidiar con la ira?
SR_Thinking,Self Reflection,Réflexion sur soi,Reflexión del uno mismo
SR_ThinkingDesc,How does Thinking and Selfreflection help to deal with Anger?,Comment la réflexion et l'auto-réflexion aident-elles à gérer la colère?,¿De qué manera el Pensamiento y la Autoreflexión ayudan a lidiar con la Ira?
Rules,<b><size=+3>Directions</size></b>\n\nPlayers take turn moving their piece according to the roll of the dice from the “Start” position. The winner is the first to get to the “Finish” or past it.  As the players move around the board; they talk about or tell stories about the concepts on the squares they land on.\n\n<b><size=+3>The Flowered Cross:</size></b> Safety.Tell about places you feel safe and/or people you feel safe with. Or tell about things you like to do or would like to do.\n\n<b><size=+3>The Blue Dragon:</size></b> Someone is angry at you. Tell a story about when someone was angry at you or what you do that makes people angry.\n\n<b><size=+3>The Green Dragon:</size></b> You are angry. Tell a story about when you got angry or what makes you angry.\n\n<b><size=+3>The Green and Red Dragons:</size></b> Other people are angry at each other. Tell a story about when you saw people angry at each other. What did you see other people fight about?\n\n<b><size=+3>The Jewel (Dragon’s treasure):</size></b> Tell a good anger story. Tell about a good way of dealing with anger; good consequences of anger or good reasons for getting angry. Roll again. Treat the square you land on as a safe square. You are protected by the Dragon’s treasure.\n\n<b><size=+3>The Spinner Ornament:</size></b> When landing on Spinner square; the player spins the spinner; moves their player piece and uses the concepts on it to describe a strategy for dealing with anger. See the Spinner Help on how to use the spinner.,"<b><size=+3>Instructions</size></b>\n\nLes joueurs prennent leur tour en déplaçant leur pièce en fonction du lancer du dé de la position ""Start"". Le gagnant est le premier à arriver au ""Finish"" ou à le dépasser. Au fur et à mesure que les joueurs se déplacent; ils parlent ou racontent des histoires sur les concepts sur les cases sur lesquelles ils atterrissent.\n\n<b><size=+3>La Croix Fleurie:</size></b> Sécurité. Parlez des endroits où vous vous sentez en sécurité et / ou des personnes avec lesquelles vous vous sentez en sécurité. Ou parlez de choses que vous aimez faire ou que vous aimeriez faire.\n\n<b><size=+3>Le Dragon Bleu:</size></b> Quelqu'un est en colère contre vous. Raconter une histoire à propos de quand quelqu'un était en colère contre vous ou ce que vous faites qui met les gens en colère.\n\n<b><size=+3>Le Dragon Vert:</size></b> Vous êtes en colère. Raconte une histoire à propos de quand tu t'es mis en colère ou de ce qui te met en colère.\n\n<b><size=+3>Les Dragons Verts et Rouges:</size></b> D'autres personnes sont en colère l'un contre l'autre. Racontez une histoire à propos de quand vous avez vu des gens en colère les uns contre les autres. Sur quoi avez-vous vu d'autres personnes se battre?\n\n<b><size=+3>Le Joyau (le trésor du dragon):</size></b> Racontez une bonne histoire de colère. Parlez d'une bonne façon de gérer la colère; de bonnes conséquences de la colère ou de bonnes raisons de vous mettre en colère. Roulez à nouveau. Traitez le carré sur lequel vous atterrissez comme un carré sûr. Vous êtes protégé par le trésor du Dragon.\n\n<b><size=+3>L'ornement Spinner:</size></b> Lors de l'atterrissage sur la case Spinner; le joueur tourne le spinner; déplace sa pièce de joueur et utilise les concepts pour décrire une stratégie pour gérer la colère. Voir l'aide de Spinner sur la façon d'utiliser le spinner.","<b><size=+3>Direcciones</size></b>\n\nLos jugadores se turnan para mover su pieza de acuerdo con el lanzamiento de los dados desde la posición de ""Inicio"". El ganador es el primero en llegar al ""Finalizar"" o superarlo. A medida que los jugadores se mueven por el tablero; hablan o cuentan historias sobre los conceptos en las casillas en las que aterrizan.\n\n<b><size=+3>La Cruz Florecida:</size></b> Seguridad. Habla sobre lugares en los que te sientes seguro y / o con los que te sientes seguro. O cuéntanos cosas que te gustaría hacer o te gustaría hacer.\n\n<b><size=+3>El Dragón Azul:</size></b> Alguien está enojado contigo. Cuenta una historia sobre cuando alguien estaba enojado contigo o lo que haces que enoja a la gente.\n\n<b><size=+3>El Dragón Verde:</size></b> Estás enojado. Cuenta una historia sobre cuándo te enojaste o qué te hace enojar.\n\n<b><size=+3>Los Dragones Verdes y Rojos:</size></b> otras personas están enojadas el uno con el otro. Cuenta una historia sobre cuando viste gente enojada el uno con el otro. ¿Por qué vio a otras personas pelear?\n\n<b><size=+3>La Joya (el tesoro del dragón):</size></b> cuenta una buena historia de ira. Cuénteles sobre una buena manera de lidiar con la ira; las buenas consecuencias de la ira o buenas razones para enojarse. Lanza otra vez. Trata la casilla en la que aterrizas como un cuadrado seguro. Estás protegido por el tesoro del Dragón.\n\n<b><size=+3>El Ornamento Spinner:</size></b> Al aterrizar en la casilla Spinner; el jugador gira la ruleta; mueve su pieza de jugador y usa los conceptos para describir una estrategia para manejar la ira. Consulte la Ayuda de Spinner sobre cómo usar el girador."
Objectives,<b><size=+3>Objectives:</size></b>\n\nTaming Your Dragon is a useful way to initiate talk about anger that one has experienced or witnessed. Players explore problems and discuss a variety of strategies to deal with anger. In addition; players identify feelings of safety and trust and self-esteem is enhanced by discussing good reasons for getting angry and positive ways to express one's anger. \n\n•To increase awareness of anger and the related emotions;\n•To understand the causes of anger and explore a variety of responses;\n•To recognize warning signs of anger for self and others;\n•To provide an opportunity for personal story telling about anger both personal and witnessed;\n•To explores the dynamics of safety in the face of anger;\n•To increases awareness of one’s own sources of anger;\n•To identifies positive ways of expressing anger and good reasons to be angry;\n•To explores creative strategies to deal with anger;\n•To build self-esteem by having one's feelings heard and accepted.,<b><size=+3>Objectifs:</size></b>\n\nApprivoisez votre dragon est un moyen utile d'initier des discussions sur la colère que vous avez vécue ou dont vous avez été témoin. Les joueurs explorent les problèmes et discutent d'une variété de stratégies pour gérer la colère. En outre; les joueurs identifient des sentiments de sécurité et de confiance et l'estime de soi est renforcée en discutant des bonnes raisons de se mettre en colère et des façons positives d'exprimer sa colère.\n\n• Pour augmenter la conscience de la colère et des émotions associées;\n• Comprendre les causes de la colère et explorer une variété de réponses;\n• Reconnaître les signes avant-coureurs de la colère pour soi et les autres;\n• Fournir une occasion de raconter des histoires personnelles sur la colère à la fois personnelle et témoin;\n• Explorer la dynamique de la sécurité face à la colère;\n• Augmenter la conscience de ses propres sources de colère;\n• Pour identifier les moyens positifs d'exprimer la colère et les bonnes raisons d'être en colère;\n• Explorer des stratégies créatives pour faire face à la colère;\n• Renforcer l'estime de soi en faisant entendre et accepter ses sentiments.,<b><size=+3>Objetivos:</size></b>\n\nDomando a tu dragón es una forma útil de iniciar una conversación sobre la ira que uno ha experimentado o presenciado. Los jugadores exploran problemas y discuten una variedad de estrategias para lidiar con la ira. Además; los jugadores identifican los sentimientos de seguridad y confianza y se refuerza la autoestima discutiendo buenas razones para enojarse y maneras positivas de expresar su enojo.\n\n• Para aumentar la conciencia de la ira y las emociones relacionadas;\n• Comprender las causas de la ira y explorar una variedad de respuestas;\n• Reconocer signos de advertencia de ira para uno mismo y para los demás;\n• Brindar una oportunidad para contar historias personales sobre el enojo tanto personal como atestiguado;\n• Para explorar la dinámica de la seguridad frente a la ira;\n• Para aumentar la conciencia de las propias fuentes de ira;\n• Para identificar formas positivas de expresar enojo y buenas razones para estar enojado;\n• Para explorar estrategias creativas para lidiar con la ira;\n• Desarrollar la autoestima al escuchar y aceptar los sentimientos de uno.
SpinnerIcon,<b><size=+3>How to use the Spinner</size></b>\n\nThe main concepts associated with each of the four major coloured segments of the spinner are given in the innermost circle: “Thinking” (red); “Doing” (blue); “Talking” (yellow) and “Feeling”; (green). Each of these concepts is also linked to a closely associated term given in the next circle out. Thus we have the relations as given below.\n\n\t\t\tThinking\t\t<color=red>Red</color>\t\tSelf Reflection\n\t\t\tDoing\t\t\t<color=blue>Blue</color>\t\tPhysical Activity\n\t\t\tTalking\t\t<color=yellow>Yellow</color>\tCommunicating\n\t\t\tFeeling\t\t<color=green>Green</color>\t\tCreative Expression\n\n1) When a player spins the spinner and the arrow stops at one of the strategies for dealing with anger; (e.g. “Go and Listen to the Music”); the player moves their playing piece to that square on the board and tells how this strategy could be used to deal with anger. (These strategies are derived in a loose way from the concepts of the segment. Thus the strategy “Go for a Walk” is a “Physical Activity” one can “Do” to deal with anger. In a similar way; the strategy “Go and Write a Poem” involves the “Creative Expression” of “Feeling”).\n\n2) When a player spins the spinner and the arrow points to a “?” in one of the segments; the player tells how to deal with one’s anger using the concepts in this section. For example; if the arrow points to the “?” in the “Thinking” segment; then the player tells a story about how thinking and the related concept “Self Reflection” could be used to deal with anger. Or if the arrow points to the “?” in the “Talking” segment; then he or she could tell about how “Communication” about anger can help. After the player tells their story; they move their playing piece ahead to the first “Safe” (Flowered Cross) square.\n\nThe concepts of the spinner should only be thought of as a general guide for discussion. Concepts mix with and overlap each other in the virtually limitless number of strategies for dealing with anger that individuals can come up with. For instance; “Thinking” is a kind of “Doing”  and a “Physical Activity” may also be a “Creative Expression”.,"<b><size=+3>Comment utiliser le Spinner</size></b>\n\nLes principaux concepts associés à chacun des quatre principaux segments colorés du fileur sont donnés dans le cercle le plus intérieur: ""Penser"" (rouge); ""Faire"" (bleu); ""Parler"" (jaune) et ""Sentiment""; (vert) . Chacun de ces concepts est également lié à un terme étroitement associé donné dans le cercle suivant. Ainsi nous avons les relations comme ci-dessous.\n\n\t\t\tEn Pensant\t\t<color=red>Rouge</color>\tRéflexion sur soi\n\t\t\tFaire\t\t\t<color=blue>Bleu</color>\t\tActivité Physique\n\t\t\tParlant\t\t<color=yellow>Jaune</color>\t\tCommunicant\n\t\t\tSentiment\t\t<color=green>Vert</color>\t\tExpression Créative\n\n1) Quand un joueur tourne le spinner et que la flèche s'arrête à l'une des stratégies de gestion de la colère; (par exemple ""Allez écouter la musique""); le joueur déplace sa pièce sur le plateau et explique comment stratégie pourrait être utilisée pour faire face à la colère. (Ces stratégies sont dérivées d'une manière lâche des concepts du segment.) Ainsi; la stratégie «Go for a Walk» est une «activité physique» que l'on peut «faire» pour faire face à la colère. et écrire un poème ""implique"" l'expression créative ""de"" sentir "").\n\n2) Quand un joueur tourne le spinner et que la flèche pointe vers un ""?"" Dans l'un des segments; le joueur dit comment gérer sa colère en utilisant les concepts de cette section. Par exemple; si la flèche pointe vers le ""?"" Dans le segment ""Pensée""; alors le joueur raconte une histoire sur la façon dont la pensée et le concept apparenté ""Self Reflection"" pourraient être utilisés pour gérer la colère. Ou si la flèche pointe vers le ""?"" Dans le segment ""Parler""; alors il ou elle pourrait dire comment ""Communication"" sur la colère peut aider. Après que le joueur raconte son histoire; il déplace sa pièce de jeu vers la première case ""Safe"" (Flowered Cross).\n\nLes concepts du fileur ne doivent être considérés que comme un guide général pour la discussion. Les concepts se mélangent et se chevauchent dans le nombre virtuellement illimité de stratégies pour faire face à la colère que les individus peuvent trouver. Par exemple; ""penser"" est une sorte de ""faire"" et une ""activité physique"" peut aussi être une ""expression créative"".","<b><size=+3>Cómo usar el Spinner</size></b>\n\nLos conceptos principales asociados con cada uno de los cuatro segmentos principales de color del spinner se dan en el círculo más interno: ""Pensar"" (rojo); ""Hacer"" (azul); ""Hablar"" (amarillo) y ""Sentir""; (verde). Cada uno de estos conceptos también está vinculado a un término estrechamente asociado dado en el siguiente círculo. Por lo tanto; tenemos las relaciones que se detallan a continuación.\n\n\t\t\tPensando\t\t<color=red>Rojo</color>\t\tReflexión del uno mismo\n\t\t\tObra\t\t\t<color=blue>Azul</color>\t\tActividad Física\n\t\t\tHablando\t\t<color=yellow>Amarillo</color>\tComunicado\n\t\t\tSensación\t\t<color=green>Verde</color>\t\tExpresión Creativa\n\n1) Cuando un jugador gira la ruleta y la flecha se detiene en una de las estrategias para lidiar con la ira (por ejemplo; ""Ve y escucha la música""); el jugador mueve su pieza de juego a ese cuadrado en la pizarra y explica cómo la estrategia podría usarse para lidiar con la ira. (Estas estrategias se derivan de manera flexible de los conceptos del segmento. Por lo tanto; la estrategia ""Ir a caminar"" es una ""Actividad física"" que uno puede ""Hacer"" para manejar la ira. De manera similar; la estrategia ""Ir y Escribir un poema ""implica la"" Expresión creativa ""de"" Sentir "").\n\n2) Cuando un jugador gira el ruleta y la flecha apunta a un ""?"" En uno de los segmentos; el jugador le dice cómo lidiar con su ira usando los conceptos de esta sección. Por ejemplo; si la flecha apunta al ""?"" En el segmento ""Pensar""; entonces el jugador cuenta una historia sobre cómo el pensamiento y el concepto relacionado ""Reflexión propia"" podrían usarse para lidiar con la ira. O si la flecha apunta al ""?"" En el segmento ""Hablar""; entonces él o ella podrían decir cómo la ""Comunicación"" sobre la ira puede ayudar. Después de que el jugador cuenta su historia; mueven su pieza de juego hacia adelante al primer cuadro ""Seguro"" (Cruz Florecida).\n\nLos conceptos del spinner solo deben considerarse como una guía general para la discusión. Los conceptos se mezclan y se superponen entre sí en el número virtualmente ilimitado de estrategias para lidiar con la ira que los individuos pueden generar. Por ejemplo; ""Pensar"" es una especie de ""Hacer"" y una ""Actividad física"" también puede ser una ""Expresión creativa""."
